,decimalLatitude,decimalLongitude,elevation,date
806,46.65215,9.7172,1110.0,2003-01-01 00:00:00
807,47.55715,8.37264,480.5,2003-01-01 00:00:00
808,47.31722,7.94915,438.5,2003-01-01 00:00:00
810,46.92651,7.51947,570.0,2003-08-18 00:00:00
811,46.77373,10.20179,1435.0,2003-01-01 00:00:00
812,47.47855,8.46679,430.0,2003-05-01 00:00:00
816,46.93036,8.25644,541.5,2003-01-01 00:00:00
817,46.94021,7.49488,555.0,2003-07-18 00:00:00
818,47.36158,8.73063,500.0,2003-05-28 00:00:00
819,46.97074,7.49344,539.0,2003-01-01 00:00:00
823,46.94266,8.27133,462.5,2003-01-01 00:00:00
824,46.94596,7.4839,555.0,2003-07-18 00:00:00
825,47.47183,7.9062,565.0,2003-01-01 00:00:00
827,47.06295,7.28925,443.5,2003-01-01 00:00:00
828,47.33935,8.73539,497.0,2003-05-17 00:00:00
829,47.47927,8.97586,535.0,2003-09-10 00:00:00
831,47.34204,8.73612,496.0,2003-05-17 00:00:00
832,46.79047,7.59432,545.5,2003-01-01 00:00:00
836,47.15354,7.00481,790.0,2003-07-07 00:00:00
837,46.76713,7.11921,588.5,2003-01-01 00:00:00
839,47.16716,7.04097,730.0,2003-07-08 00:00:00
844,47.34482,8.74082,491.5,2003-06-15 00:00:00
845,47.34492,8.74042,493.5,2003-06-15 00:00:00
846,47.53209,8.56212,520.0,2003-01-01 00:00:00
850,47.34537,8.74037,489.5,2003-05-17 00:00:00
852,47.34715,8.72168,466.5,2003-06-10 00:00:00
853,47.34739,8.72069,466.0,2003-05-17 00:00:00
854,47.31905,8.21636,519.0,2003-01-01 00:00:00
855,46.80437,7.57881,543.0,2003-01-01 00:00:00
857,46.78649,9.92072,1940.0,2003-07-15 00:00:00
861,46.80324,9.89528,1800.0,2003-07-15 00:00:00
862,46.79131,9.82136,1540.0,2003-07-14 00:00:00
864,46.13653,8.71534,520.0,2003-01-01 00:00:00
865,46.83198,9.85594,1625.0,2003-07-15 00:00:00
868,46.47947,8.80104,750.0,2003-01-01 00:00:00
869,46.78518,9.67959,1740.0,2003-07-18 00:00:00
870,46.80256,7.16812,552.0,2003-01-01 00:00:00
871,47.09178,9.29058,1325.0,2003-01-01 00:00:00
875,46.79823,9.70241,1452.0,2003-07-18 00:00:00
877,47.27582,9.11057,632.0,2003-01-01 00:00:00
879,47.34732,8.70646,454.0,2003-05-24 00:00:00
880,47.05145,7.54105,511.0,2003-05-18 00:00:00
881,46.81883,9.70721,1317.0,2003-07-18 00:00:00
882,46.81034,9.83662,1626.5,2003-01-01 00:00:00
883,46.65957,7.56276,685.0,2003-01-01 00:00:00
886,46.81227,9.53261,1116.0,2003-08-11 00:00:00
887,46.84695,9.87137,1523.5,2003-01-01 00:00:00
888,46.93022,9.71717,715.0,2003-05-22 00:00:00
889,47.50408,8.47923,412.0,2003-01-01 00:00:00
892,46.85463,9.52901,585.0,2003-07-18 00:00:00
893,47.3711,8.37826,495.0,2003-05-05 00:00:00
894,46.30464,7.0817,1546.5,2003-01-01 00:00:00
897,46.99213,7.41205,567.0,2003-07-01 00:00:00
898,46.88377,9.87534,1191.0,2003-07-14 00:00:00
899,47.35381,8.69246,445.0,2003-05-04 00:00:00
904,47.3525,8.73769,515.0,2003-06-20 00:00:00
905,47.09124,7.39298,474.0,2003-01-01 00:00:00
906,47.35282,8.71699,462.5,2003-05-17 00:00:00
907,47.3471,8.7058,454.0,2003-06-01 00:00:00
908,47.02687,7.205,440.0,2003-01-01 00:00:00
909,47.35308,8.71785,463.5,2003-05-17 00:00:00
910,47.34693,8.70116,457.0,2003-06-01 00:00:00
911,46.39389,9.69335,1800.0,2003-08-01 00:00:00
913,47.09088,7.39064,474.5,2003-01-01 00:00:00
914,47.35272,8.71784,463.5,2003-05-17 00:00:00
915,46.07633,7.14525,717.0,2003-08-07 00:00:00
921,46.23337,10.13932,550.0,2003-07-24 00:00:00
926,46.35163,7.15544,1155.0,2003-08-19 00:00:00
929,46.99419,7.42374,562.0,2003-07-01 00:00:00
930,45.94965,7.20912,1640.0,2003-08-08 00:00:00
931,47.321,8.6987,435.0,2003-05-01 00:00:00
934,46.02686,7.14423,901.0,2003-08-07 00:00:00
938,46.35444,7.2061,1546.0,2003-08-19 00:00:00
941,47.36145,8.72634,482.5,2003-05-24 00:00:00
942,47.36167,8.73065,488.0,2003-05-17 00:00:00
943,47.53754,8.41668,427.0,2003-05-01 00:00:00
944,47.20792,8.5575,573.5,2003-05-26 00:00:00
945,47.36138,8.7265,482.5,2003-05-24 00:00:00
946,47.35416,8.46638,563.0,2003-01-01 00:00:00
947,47.36383,8.70835,461.0,2003-05-24 00:00:00
948,47.36167,8.73064,488.0,2003-05-17 00:00:00
949,47.34737,8.72083,466.5,2003-05-17 00:00:00
950,47.15773,7.5016,491.0,2003-01-01 00:00:00
952,47.14523,7.33085,429.0,2003-07-01 00:00:00
955,47.44598,7.10955,500.0,2003-05-24 00:00:00
